"cellcode","clc_artificial","clc_agriculture","clc_forest","clc_shrub","clc_open","clc_marshes","clc_peat bogs","clc_coastal wetland","clc_rivers","clc_lakes","clc_marine waters","bio1_annual_temp_dC","bio10_temp_warmQ_dC","bio12_annual_prec_mm","bio15_coefvar_prec","bio4_sd_temp"
"50kmE260N110",0,0,0,0,0,0,0,0,0,0,0,13.9291086196899,21.3754806518555,516.339965820312,29.798282623291,555.850708007812
"50kmE285N120",0,0,0,0,0,0,0,0,0,0,0,12.8645687103271,21.6639099121094,517.602172851562,47.0706405639648,649.273071289062
"50kmE285N125",0,0,0,0,0,0,0,0,0,0,0,14.1355228424072,22.5236186981201,745.660583496094,60.0523376464844,619.806823730469
"50kmE640N135",0,0,0,0,0,0,0,0,0,0,0,20.4263362884521,25.7087745666504,241.195816040039,112.679969787598,405.069671630859
"50kmE435N140",0,0,0,0,0,0,0,0,0,0,0,19.4463214874268,26.6955699920654,359.018493652344,54.6217155456543,547.889221191406
"50kmE470N140",3.15439994374174,5.03279983386164,0.0824000017018989,1.37440003454685,0.285600009374321,0,0,0.0108000000182074,0,0,76.8487989902496,19.1657447814941,25.0796298980713,510.008544921875,83.7502670288086,436.011932373047
"50kmE575N145",0.668799995764857,14.5740001738886,0.601600017398596,17.8015997633338,1.40199997113086,0,0,0,0,0.0391999987186864,64.8728013038635,18.3879261016846,24.4898147583008,496.653930664062,91.9624252319336,460.090209960938
"50kmE635N155",0.62640001415277,1.59320000384469,0.0180000002728775,1.31960000362596,0.308799996855669,0,0,0,0,0,51.776397228241,20.0741329193115,25.978702545166,457.454040527344,102.533432006836,450.19287109375
"50kmE640N155",0.357600001734682,0.0975999981164932,0,0.626000016927719,0.274799996986986,7.45058055164314e-15,0,0.201199995353818,0,0,50.602799654007,20.2835884094238,26.27366065979,518.319946289062,107.81428527832,457.107391357422
"50kmE630N160",0,0.172800005748286,0.886799953877926,0.912000023527071,0.540399982128292,0,0,0,0,0,56.2088012695312,19.8821887969971,25.8736972808838,499.290924072266,99.4479751586914,452.804656982422
