"cellcode","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7","frac_8","frac_9","frac_10","frac_11","frac_12","frac_13","frac_14","frac_15","frac_16","frac_17","frac_18","frac_19","frac_20","frac_21","frac_22","frac_23","frac_24","frac_25","frac_26","frac_27","frac_28","frac_29","frac_30","frac_31","frac_32","frac_33","frac_34","frac_35","frac_36","frac_37","frac_38","frac_39","frac_40","frac_41","frac_42","frac_43","frac_44","frac_48","frac_128"
"50kmE635N165",0,0.00285600009374321,0.000699999975040555,0,0,0,0.000636000011581928,0,0,0,0,0.0208119992166758,0.00182400003541261,0,0,0.0153480004519224,0,0.00028000000747852,0.000907999987248331,0.0105600003153086,0.00398400006815791,0,0,0.00120000005699694,0,0.00387999997474253,0,0.0269879996776581,0.0143719995394349,0.00549199990928173,0,0.00184399995487183,0,0,0,0,0,0,0,9.20000020414591e-05,0,0,0,0.716607987880707,0,0.17161600291729
"50kmE640N165",0.00136400002520531,0.0772920027375221,0.0288839992135763,0.00112000002991408,0.000195999993593432,0.00479200016707182,0.00385199999436736,0.00047999998787418,0.00286799995228648,0.00168800004757941,0.00353999994695187,0.272715985774994,0.0261760000139475,0,0,0.0200999993830919,0.00600800011307001,0.00202800007537007,0.00568800000473857,0.0585279986262321,0.0279360003769398,0,0.000975999981164932,0.0271439999341965,0.000684000027831644,0.0289639998227358,0,0.0940999984741211,0.0325840003788471,0.0015760000096634,0.000132000001030974,0.0117199998348951,0.000923999992664903,0,0.000108000000182074,0,0,0,0,2.80000003840541e-05,0.00123599998187274,0,0,0.254568010568619,0,0
"50kmE645N165",0.000376000010874122,0.0431680008769035,0.020584000274539,0.000931999995373189,0.0007999999797903,0.00130799994803965,0.00108800001908094,9.99999974737875e-05,0.00116400001570582,0,0.00944400019943714,0.37389600276947,0.0596279986202717,0,0,0.00171999994199723,0.00254400004632771,0.000628000008873641,0.00533200008794665,0.0264079999178648,0.00588800013065338,0.000660000019706786,0,0.00858800020068884,0.000335999997332692,0.0231279991567135,0.000391999987186864,0.0573199987411499,0.0106720002368093,0.000720000010915101,0.000595999998040497,0.0109320003539324,0,0,0.00138000003062189,0,0,0,0,0,0.00150799995753914,0,0,0.328759998083115,0,0
"50kmE650N165",0,0,0,0,0,0,0,0,0,0,0.00104799994733185,0.00044000000343658,0.000415999995311722,0,0,0,0,0,0,9.60000033956021e-05,0.00022000000171829,0,0,0.00014000000373926,0,0,0,0.00240000011399388,0,0,0.000472000014269724,0,0,0,0,0,0,0,0,0,0,0,0,0.49100399017334,0,0.503763973712921
"50kmE655N165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50kmE660N165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50kmE630N170",0,0,0,0,0,0,0,0,0.000236000007134862,0,0,0,0,0,0,0.00264400010928512,0,0,0,0,0.00851199962198734,0,0,0.0100320000201464,0.00148400000762194,0,0,0.000495999993290752,0.0069280001334846,0,0.000331999995978549,0,0,0,0,0,0,0,0,0,0,0,0,0.48828399181366,0,0.48105201125145
"50kmE635N170",0,1.59999999596039e-05,0,0.000796000007539988,0,0,0,0,0,0,0,0,0.00574799999594688,0,0,0,0,0,0,0.00036000000545755,0.00239200005307794,0,0.000236000007134862,0.0111959995701909,0.00015999999595806,0.00011600000289036,0,0.000744000019039959,0.00383999990299344,0,2.80000003840541e-05,0.00011600000289036,0,0,0,0,0,0,0,0,0,0,0,0.523024022579193,0,0.451227992773056
"50kmE640N170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331095993518829,0,0.668904006481171
"50kmE645N170",0,0.00645999982953072,0.000739999988581985,0.000108000000182074,0,0,0.000127999999676831,0,0.000495999993290752,0,0.00138000003062189,0.0780880004167557,0.00105600000824779,0,0,0.000607999972999096,0.00203200010582805,0.000132000001030974,0.0249959994107485,0.00528800021857023,0.0108120003715158,0,0,0.0237760003656149,0.000292000011540949,0.000344000000040978,0.00300400005653501,0.0496440008282661,0.00961599964648485,0,0,0.00105199997778982,0,0,0,0,0,0,0,0,0,0,0,0.645247995853424,0,0.134700000286102
"50kmE650N170",0,0.000684000027831644,0,0,0,0,0,0,0,0,0,0.0217840000987053,0.000600000028498471,0,0,0,0.00081200001295656,0,0.0068359998986125,0.000923999992664903,0.0101880002766848,0,0,0.0101239997893572,0,0.000339999998686835,0,0.0249799992889166,0.000123999998322688,0.000796000007539988,0,0.000112000001536217,0,0,0,0,0,0,0,0,0,0,0,0.595444023609161,0,0.326252013444901
"50kmE580N175",0,0.00863999966531992,0.00083999999333173,0,0.000344000000040978,0.000315999990561977,0.000684000027831644,0,0,0,0.00304799992591143,0.010780000127852,0.0712200030684471,0,0.00182400003541261,0.00124799995683134,0.0242320001125336,0.000300000014249235,0,0.0151760000735521,0.0355199985206127,0,0.00109599996358156,0.0117159998044372,0.0326920002698898,0.000964000006206334,0,0.0560799986124039,0.043028000742197,0.0103000001981854,0.000148000006447546,0.00705200014635921,0,0,0.000148000006447546,0,0.00142400001641363,0,0,0,0.000112000001536217,0,0,0.661068022251129,0,0
"50kmE650N175",0,0,0,0,0,0,0,0,0,0,0.000119999996968545,0.005044000223279,0,0,0,0,0,0,0.0011680000461638,0,0.00103199994191527,0,0,0.00344399991445243,0,0,0,0.00912799965590239,0,0.000631999981123954,0.000136000002385117,0.000460000010207295,0,0,0,0,0,0,0,0,0,0,0,0.602240025997162,0,0.376596003770828
"50kmE640N185",0,0.000595999998040497,0,0,0,0,0.000444000004790723,0,0.000775999971665442,0,0,0.0511920005083084,0.00425599981099367,0,0,0.00141599995549768,0,0.0111400000751019,0,0.0284119993448257,0.187020003795624,0,0.00286399992182851,0.0116159999743104,0.00396399991586804,0.0447239987552166,0,0,0.139620006084442,0,0.0545440018177032,0.456992000341415,0,0,0.000423999998020008,0,0,0,0,0,0,0,0,0,0,0
"50kmE570N190",0.000891999981831759,0.00522800022736192,0.00185999996028841,0,0.000167999998666346,0.000136000002385117,0.000119999996968545,0.000176000001374632,0,0,0.00011600000289036,0.0195439998060465,0,0,0,0.000268000003416091,0.132924005389214,0.00202000001445413,0,0.0117880003526807,0.0723839998245239,0,0.00594400009140372,0.0875559970736504,0.00773600023239851,0.0640280023217201,0,0.0218039993196726,0.0388199985027313,0,0.000188000005437061,0,0,0,0,0,0.00178799999412149,0.00181599997449666,0,0,0,0,0,0.522696018218994,0,0
"50kmE350N195",0.00281199999153614,0.00493999989703298,0.00329199992120266,0.000119999996968545,0.000555999984499067,0,0.000595999998040497,0,0,0,0.000731999985873699,0.00247199996374547,0.0078320000320673,0.0126719996333122,0,0.0587159991264343,0.026435999199748,0.00101999996695668,0,0.0244720000773668,0.00386400008574128,0,0.000296000012895092,0.000331999995978549,0.000132000001030974,0.00362799991853535,0,0.0353839993476868,0.000723999983165413,0.00581600004807115,0,0.000268000003416091,0,0,0.00160399999003857,0,0.0033400000538677,0.00437200022861362,0,0,0,0.00314799998886883,0,0.633599996566772,0,0.156823992729187
"50kmE275N200",0.000912000017706305,0.010487999767065,0.00438799988478422,0.000192000006791204,0,0.000127999999676831,0.000119999996968545,0,0,0,0,0.00215200008824468,0.00937999971210957,0,0.00112399994395673,0.00115599995478988,0.0529160015285015,0.000728000013623387,0.0253120008856058,0.0642080008983612,0.0766120031476021,0.00290800002403557,0.0899560004472733,0.0710159987211227,0.0602560006082058,0.000584000023081899,0.0212239995598793,0.0137080000713468,0.451555997133255,0.000144000005093403,0,0,0.0200599990785122,0,0,0,0,0,0,0.00529999984428287,0.0134720001369715,0,0,0,0,0
