"cellcode","bio1","bio10","bio12","bio15","bio4"
"50kmE640N135",20.4263583815015,25.7087572254332,241.205867052023,112.67979768786,405.07118497111
"50kmE635N155",20.0737355185087,25.9789064707548,457.532975416785,102.524696241876,450.245606103411
"50kmE640N155",20.283560090703,26.2735260770977,518.330158730158,107.81533446712,457.097363945579
"50kmE630N160",19.8818807984251,25.8733904976101,499.306494236717,99.4475962890075,452.807197076187
"50kmE635N160",17.8875070501973,25.3054709531867,709.192780597859,91.5320078962212,574.658121827412
"50kmE640N160",18.4907668452213,26.4204820975473,514.770961375811,89.9549196504086,614.951282774176
"50kmE645N160",20.1873974540317,26.3902828854314,424.871117397454,106.074455445544,473.848995756717
"50kmE650N160",20.2865433493363,26.1163936741035,482.719147133578,111.551087263485,445.165715899461
"50kmE635N165",20.046133370692,26.7610395068647,593.551190809751,96.9261137573549,511.984505463714
"50kmE640N165",19.7916549789622,28.1095792426367,452.449845722301,84.3084992987378,642.378148667602
"50kmE645N165",20.363511235955,27.7069662921347,370.760280898876,93.2321067415729,565.882219101123
"50kmE650N165",20.2373873873875,26.2773367117111,434.227984234234,108.50990990991,459.728885135133
"50kmE655N165",20.3467296306734,26.2110374964745,614.80059204962,107.74570059205,450.851198195663
"50kmE640N170",20.033468079175,26.5726651798154,683.087426819068,102.378979648732,493.423445776419
"50kmE645N170",19.9871540396979,26.5318283477773,539.003410679342,103.845177523064,494.12261671792
"50kmE650N170",20.1905208625039,26.434990198823,521.110837300476,105.740100812097,474.908345001399
"50kmE650N175",20.1380746726114,26.5347311228766,674.815018110893,104.905015324602,486.725884647528
"50kmE350N195",17.3423841926198,24.1992802931169,571.60803454593,43.4186600366397,504.56684114106
"50kmE345N200",13.664787815673,21.9177167404322,561.943920853944,31.1278312939339,607.665113251757
"50kmE350N200",15.6074102964118,23.122412896516,556.846099843994,38.9355694227769,563.652106084244
"50kmE355N200",16.8589587120233,23.7278239418326,581.71228252402,43.4209036613867,507.52916125682
"50kmE360N200",17.0083484809144,23.6273045962082,581.388860036355,41.5603739288496,480.758400415477
"50kmE420N200",16.7809597523216,22.8870485036113,598.424484004127,54.5429566563468,447.554824561404
"50kmE425N200",16.9247466874515,23.4010522213564,547.161392569499,52.1701740711874,476.54936347103
"50kmE345N205",16.2499741267789,25.025213454075,359.288978007762,33.4465976714098,651.017723156536
"50kmE350N205",15.5730511099639,24.1409654104284,430.745818275685,38.2885389778007,641.719643779038
"50kmE355N205",14.110505937016,22.383169850284,518.824548270522,37.6026329375321,618.425761486836
"50kmE360N205",14.3301546391752,21.9291494845359,595.252912371134,33.5050515463917,572.791237113402
"50kmE365N205",15.4830929693537,22.4754699974238,640.094566057173,31.2475920679887,521.066443471541
"50kmE370N205",16.3429711637491,22.9129763130787,640.538439752831,37.2984552008238,480.706488156538
"50kmE420N205",14.8524839948781,21.7123815620996,976.377823303455,50.3209987195902,512.062740076825
"50kmE425N205",15.6276234567901,22.9036522633744,747.466460905349,49.4208333333334,539.778009259258
"50kmE350N210",15.110723447922,24.4236531554643,420.171523858389,33.8294510005131,695.306926629043
"50kmE355N210",14.0493338457597,23.094581091468,524.420855751985,31.505585447092,678.53989239047
"50kmE360N210",12.5930071721311,20.9922131147541,666.922592213116,30.5530737704917,631.62174692623
"50kmE365N210",11.9352610030706,19.7740532241556,878.826919140224,25.281857727738,587.696954964176
"50kmE370N210",14.6572945994369,22.2112234450986,801.321371896596,26.4396467878168,567.974276938831
"50kmE375N210",16.055649284254,22.0915899795501,591.854933537831,42.2200664621676,438.84225460123
"50kmE420N210",12.0883596535914,19.3660723382578,1179.23308711156,49.185226693836,547.066225165563
"50kmE425N210",14.6413527180781,21.8810745891276,847.217926675095,44.4859671302149,540.988470290772
"50kmE355N215",9.52892057026477,18.1552698574338,837.329047861507,28.0758910386965,642.492107942975
"50kmE360N215",7.1961205800051,15.619931315187,886.944288984992,25.3985245484609,628.892317476467
"50kmE365N215",7.28079857578841,15.1413784333672,1008.78156154629,21.9742370295015,589.602136317394
"50kmE370N215",13.1726051697922,20.9141155600608,875.784110491639,25.0562595032945,582.284744044602
"50kmE375N215",15.7101522842632,21.9758375634521,630.043477157361,41.3223604060914,464.176979695433
"50kmE420N215",16.0255319148931,22.8325734549139,697.012765957445,49.3061550151976,509.276215805471
"50kmE425N215",15.6213527180787,22.3776864728195,670.12027812895,46.5230847029077,501.829709228825
"50kmE345N220",7.34837810440953,15.6846933603649,1408.00010136848,26.5336796756209,612.148023314752
"50kmE350N220",5.42903388973192,13.6872281234193,1356.38239757207,20.5141881638847,614.318841679316
"50kmE355N220",5.23782520838594,13.1050896691083,1340.64485981308,17.3372568830513,592.600378883556
"50kmE360N220",6.75310684516293,14.479906542056,1260.46557211417,15.613235665572,585.571028037383
"50kmE365N220",9.35126198889452,16.7297829379101,989.233291267034,18.6233215547703,558.171580010097
"50kmE370N220",13.9181382441978,21.6443995963673,753.910797174573,32.9778254288597,578.329490413725
"50kmE375N220",15.5965104560347,22.1484126984124,587.60007558579,42.5331821617534,490.991509196272
"50kmE390N220",15.6900905432597,21.7300553319927,541.735035211268,50.0702716297786,453.699195171019
"50kmE395N220",15.4640809655519,21.8822353532809,640.116696002013,48.3928589388987,480.602791048529
"50kmE400N220",16.0717916456962,23.2192752893808,736.279793658782,48.8454202315047,533.434927025666
"50kmE405N220",16.4507533902551,22.6125313912614,702.710924158714,55.1434957307886,452.611074836767
"50kmE425N220",16.623706680061,22.9124058262171,573.719387242591,49.679984932195,460.845705675544
"50kmE335N225",11.2620403022671,17.9401259445844,1435.77493702771,30.2073803526449,512.296171284632
"50kmE340N225",9.82847432024171,16.6884944612286,1745.05093152064,26.8414904330313,519.486555891239
"50kmE345N225",9.60584024114543,16.569341873901,1599.54853051997,19.9798040693292,526.185531273549
"50kmE350N225",10.7451280763436,17.8136363636364,1265.4538171773,17.8182822702159,536.72114515319
"50kmE355N225",12.4134880803012,19.5585570890841,1013.71666248432,16.7524968632371,547.820326223336
"50kmE360N225",13.0220411233701,20.3185305917753,903.155341023067,17.5287863590773,557.743129388171
"50kmE365N225",12.8674011016525,20.2677516274412,897.040610916374,20.228818227341,560.567901852778
"50kmE370N225",13.0613670505758,20.7266149223836,935.20190285428,32.0597145718578,573.118878317476
"50kmE375N225",14.7334417208605,22.0199349674836,713.228314157074,39.3732116058031,544.654352176089
"50kmE380N225",15.1944027985999,21.7159670164927,648.422088955523,42.3179660169914,492.13863068466
"50kmE385N225",15.4290249999992,22.2672750000005,589.208400000002,46.00295,518.222349999997
"50kmE390N225",15.1622066899657,23.2723914128808,601.836869695457,43.5423614578134,608.800923614579
"50kmE395N225",13.294741443917,21.5611416437672,738.188783412443,39.3800899325505,620.781264051958
"50kmE400N225",13.462546769768,21.6658393614368,908.688550760788,38.9656522823646,615.144499875279
"50kmE405N225",14.9457865868855,22.1549613562705,914.392994265769,48.8473198703565,542.961306407377
"50kmE410N225",16.383449825263,22.8034198701946,738.547329006492,55.0630554168751,474.811507738394
"50kmE335N230",13.8437953465098,19.3282336752564,1871.04726044533,26.5135101325994,419.438353765323
"50kmE340N230",13.8630869130869,20.1245004995005,1378.76106393606,24.5008491508492,488.561913086915
"50kmE345N230",13.6021967049425,20.4008736894658,1136.35351972042,19.7317523714428,527.099625561657
"50kmE350N230",13.3810551259666,20.5385757046646,886.543028186578,16.3351708655526,549.496981790969
"50kmE355N230",13.3930136986301,20.803599003736,734.850684931505,14.6111332503113,567.026749688665
"50kmE360N230",13.5508461921354,21.0952961672474,696.942483822798,16.85537580886,574.464509706323
"50kmE365N230",13.2013298533432,20.7347874720358,890.705219985086,17.8271687795177,571.375316927661
"50kmE370N230",10.8819413373105,18.3498260004971,1390.04998757146,25.6128759632115,559.039821029083
"50kmE375N230",11.3198956780924,19.1002483854943,1192.92295081967,36.8224788872331,576.31120218579
"50kmE380N230",13.566253101737,21.8374193548388,1083.38662531018,42.4224317617865,611.539627791563
"50kmE385N230",14.8585338625652,23.5901885388243,770.887472091293,41.256908955594,646.550731828334
"50kmE390N230",14.0394723804805,22.8579762199654,792.064701511023,38.8848897696308,657.227941540747
"50kmE395N230",11.4160475482913,19.9529222387321,871.126622090143,32.578504210005,642.229767211491
"50kmE400N230",9.22400346620451,17.6871626640257,1092.73793018074,26.9176776429809,644.950160930921
"50kmE405N230",7.66416893732972,15.9991454050037,1210.01892494426,32.8423086450335,636.816794649492
"50kmE410N230",8.43255813953492,16.3869619000494,1188.65895596239,35.3434190994556,607.593245917863
"50kmE340N235",14.2996150980881,20.509721877328,1228.34521976658,26.9745716414204,477.707325552519
"50kmE345N235",13.9070084200098,21.0225111441312,982.118028727092,18.7412085190688,547.38972263497
